Food Name,Weight (g),Energy (cal),cal/g
Apple Pie,125,296,2.368
Baby Back Ribs,75,309,4.12
Baklava,100,428,4.28
Beef Carpaccio,100,268,2.68
Beef Tartare,100,210,2.1
Beet Salad,131,70,0.534351145
Beignets,100,160,1.6
Bibimbap,280,580,2.071428571
Bread Pudding,106,162,1.528301887
Breakfast Burrito,93,189,2.032258065
Bruschetta,100,152,1.52
Caesar Salad,114,179,1.570175439
Cannoli,100,400,4
Caprese Salad,161,220,1.366459627
Carrot Cake,43,139,3.23255814
Ceviche,241,165,0.6846473029
Cheesecake,100,321,3.21
Cheese Plate,170,662,3.894117647
Chicken Curry,235,243,1.034042553
Chicken Quesadilla,184,627,3.407608696
Chicken Wings,75,218,2.906666667
Chocolate Cake,109,362,3.321100917
Chocolate Mousse,90,203,2.255555556
Churros,26,102,3.923076923
Clam Chowder,262,157,0.5992366412
Club Sandwich,246,558,2.268292683
Crab Cakes,60,93,1.55
Creme Brulee,200,687,3.435
Croque Madame,363,721,1.986225895
Cup Cakes,75,292,3.893333333
Deviled Eggs,50,78,1.56
Donuts,60,253,4.216666667
Dumplings,35,69,1.971428571
Edamame,82,100,1.219512195
Eggs Benedict,310,572,1.84516129
Escargots,85,77,0.9058823529
Falafel,17,57,3.352941176
Filet Mignon,85,227,2.670588235
Fish And Chips,8,17,2.125
Foie Gras,13,60,4.615384615
French Fries,76,236,3.105263158
French Onion Soup,258,167,0.6472868217
French Toast,65,149,2.292307692
Fried Calamari,79,156,1.974683544
Fried Rice,209,343,1.641148325
Frozen Yogurt,76,124,1.631578947
Garlic Bread,52,192,3.692307692
Gnocchi,127,254,2
Greek Salad,111,139,1.252252252
Grilled Cheese Sandwich,169,335,1.982248521
Grilled Salmon,75,162,2.16
Guacamole,101,161,1.594059406
Gyoza,37,79,2.135135135
Hamburger,90,275,3.055555556
Hot And Sour Soup,255,191,0.7490196078
Hot Dog,43,113,2.627906977
Huevos Rancheros,450,644,1.431111111
Hummus,57,94,1.649122807
Ice Cream,150,266,1.773333333
Lasagna,232,364,1.568965517
Lobster Bisque,77,75,0.974025974
Lobster Roll Sandwich,228,456,2
Macaroni And Cheese,202,395,1.955445545
Macarons,148,209,1.412162162
Miso Soup,241,59,0.244813278
Mussels,75,129,1.72
Nachos,113,346,3.061946903
Omelette,290,319,1.1
Onion Rings,83,276,3.325301205
Oysters,42,58,1.380952381
Pad Thai,171,220,1.286549708
Paella,241,442,1.834024896
Pancakes,112,468,4.178571429
Panna Cotta,122,390,3.196721311
Peking Duck,75,253,3.373333333
Pho,710,638,0.8985915493
Pizza,84,210,2.5
Pork Chop,24,130,5.416666667
Poutine,165,380,2.303030303
Prime Rib,75,232,3.093333333
Pulled Pork Sandwich,249,532,2.136546185
Ramen,85,371,4.364705882
Ravioli,23,41,1.782608696
Red Velvet Cake,91,391,4.296703297
Risotto,337,413,1.225519288
Samosa,100,306,3.06
Sashimi,28,35,1.25
Scallops,78,87,1.115384615
Seaweed Salad,108,203,1.87962963
Shrimp And Grits,66,160,2.424242424
Spaghetti Bolognese,211,250,1.184834123
Spaghetti Carbonara,148,209,1.412162162
Spring Rolls,64,148,2.3125
Steak,75,227,3.026666667
Strawberry Shortcake,75,234,3.12
Sushi,104,164,1.576923077
Tacos,102,210,2.058823529
Takoyaki,100,175,1.75
Tiramisu,174,572,3.287356322
Tuna Tartare,56,98,1.75
Waffles,37,103,2.783783784